"","PFCF.ratio","PB.ratio","PTB.ratio","EV.to.Sales","Enterprise.Value.over.EBITDA","EV.to.Operating.cash.flow","EV.to.Free.cash.flow","Earnings.Yield","Free.Cash.Flow.Yield","Debt.to.Equity","Inventory.Turnover","ROE","Capex.per.Share","Gross.Profit.Growth","EBIT.Growth","Operating.Income.Growth","Net.Income.Growth","EPS.Growth","EPS.Diluted.Growth","Weighted.Average.Shares.Growth","Weighted.Average.Shares.Diluted.Growth","Dividends.per.Share.Growth","Operating.Cash.Flow.growth","Free.Cash.Flow.growth","X10Y.Revenue.Growth..per.Share.","X5Y.Revenue.Growth..per.Share.","X3Y.Revenue.Growth..per.Share.","X10Y.Operating.CF.Growth..per.Share.","X5Y.Operating.CF.Growth..per.Share.","X3Y.Operating.CF.Growth..per.Share.","X10Y.Net.Income.Growth..per.Share.","X5Y.Net.Income.Growth..per.Share.","X3Y.Net.Income.Growth..per.Share.","X10Y.Shareholders.Equity.Growth..per.Share.","X5Y.Shareholders.Equity.Growth..per.Share.","X3Y.Shareholders.Equity.Growth..per.Share.","X10Y.Dividend.per.Share.Growth..per.Share.","X5Y.Dividend.per.Share.Growth..per.Share.","X3Y.Dividend.per.Share.Growth..per.Share.","Receivables.growth","Inventory.Growth","Asset.Growth","Book.Value.per.Share.Growth","Debt.Growth","R.D.Expense.Growth","X2015.PRICE.VAR...."
"430",16.3597,3.238,0,2.9596,14.9131,15.4347,18.7464,0.0428,0.0612,0.5436,7.0794,0.1391,-0.6987,0.0142,0.0865,0.063,0.031,0.0364,0.037,-0.007,-0.0055,0.06,0.3413,0.4396,0.0695,0.0721,0.0474,0.0758,0.101,0.1243,0.0376,0.0427,0.0963,0.0619,0.0581,0.0782,0.0929,0.0579,0.0893,-0.0977,-0.1173,-0.085,-0.0778,-0.1451,0,17.808506952063
"1175",21.4124,3.3279,8.4006,2.6308,13.2588,13.4241,25.8729,0.0105,0.0467,0.7634,18.5186,0.0347,-3.2698,0.1618,0.1018,0.2239,-0.2455,-0.2476,-0.2524,0.0074,NA,0.2727,0.1055,8e-04,0.0535,0.047,0.0234,0.0459,0.1302,-0.0284,0,-0.1014,-0.0628,0.0501,0.0155,-0.0046,0,0,1.0328,0.2143,-0.0166,-0.0582,-0.011,-0.2137,0,44.7924235765363
"458",14.0729,0,0,1.6436,9.2697,13.6419,26.7074,0.0586,0.0714,-3.7276,30.0391,-0.2375,-4.9946,0.1153,0.0854,0.1718,0.205,0.2286,0.2344,-0.0211,-0.025,0,0.2087,0.308,NA,0.0614,0.1081,NA,0.096,0.0735,NA,0.1168,-0.0594,NA,0,0,NA,0,0,0.0933,0.0848,0.0745,0.0249,0.037,0,-8.57104876434612
"1109",25.702,3.4709,0,1.8289,12.5406,30.258,67.5988,0.0424,0.0316,4.3528,4.105,0.1152,-0.8219,0.1406,0.6603,0.5046,12.9644,14,13.75,0.0029,0.0077,0,0.0042,-0.2099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0081,0.1104,0.0027,0.0636,-0.0292,0.0041,-24.0588244269876
"1745",13.2697,2.5397,3.0984,1.3001,8.5802,8.7519,10.8446,0.0523,0.076,0,8.8086,0.1346,-1.3805,-0.1224,-0.2673,-0.2681,-0.2701,-0.2709,-0.2687,2e-04,-0.0015,0.9167,0.5963,0.5977,0.1115,0.1198,0.0809,0.5289,0.0887,0.2779,0.1765,0.2898,0.1106,0.1207,0.1204,0.1076,0.162,0.2391,0.3867,-0.2174,0.045,0.0278,0.0051,0,-0.0237,-13.77361432771
"926",0,10.8996,10.8996,0,0,-14.3078,-13.8122,-0.1429,-0.0639,0,0,-1.3852,-0.0118,0,-0.4715,-0.4715,-0.8873,-0.4783,-0.4783,0.2724,0.2724,0,-0.1068,-0.1168,NA,0,0,NA,0,0,NA,0,0,NA,0,0.3803,NA,0,0,0.1044,0,1.0971,0.9176,0,0.6359,-61.866668065389
"1774",23.5246,NA,NA,NA,NA,NA,NA,0.0391,0.0733,0.17,300.3212,0.1218,-613.7743,-0.0338,-0.0084,-0.0261,-0.1205,-0.1212,-0.1212,-0.1154,NA,-1,0.0076,-0.2207,0.1292,0.1598,0.1082,0.1058,0.1725,0.1441,0.156,0.262,0.1497,0.0601,0.0862,0.0866,-1,-1,-1,-0.0173,-0.0896,-0.0118,0.0186,-0.0075,0,11.3658735514408
"2024",20.168,1.8382,1.8382,13.8696,15.1866,26.5646,53.8621,0.0393,0.0491,1.0404,0,0.0721,-0.4198,0.2244,0.0973,0.2678,0.0404,-0.0807,-0.075,0.1309,0.1297,0,0.0649,1.3222,-0.0248,-0.0212,0.05,-0.0409,-0.0436,-0.0619,-0.025,0.2311,-0.0258,0.0086,0.0083,0.0391,-0.0243,0,0,0.0853,0,-0.0241,-0.1181,-0.0319,0,-11.8494322033183
"755",14.1332,3.5182,0,1.7574,13.4114,12.9533,14.7817,0.0374,0.0705,0.2435,0,0.1308,-0.4191,0.1772,0.3036,0.1805,0.5037,0.4952,0.4952,0.0128,0.0115,0.2,-0.076,-0.0968,0.1077,0.0773,0.0841,0.0856,0.0508,0.0702,0.113,0.0926,-0.041,0.1149,0.0991,0.0973,0,0,0.0627,0.053,0,0.0911,0.1258,-0.1412,0,34.0948545246824
"749",5.7415,2.8967,5.6246,1.2177,6.5428,6.2294,6.5322,0.1328,0.1557,0.4493,30.308,0.4107,-0.1033,0.4182,0.2944,0.6326,0.1989,0.1825,0.1791,0.0129,0.0119,0,0.7762,0.9942,-0.0531,0.0707,0.2478,0.0225,0,0.5869,0,0.5237,0.4567,-0.0983,0,0,0,0,0,0.095,0.1764,0.0497,0.7705,-0.279,0.224,68.2261193356998
"676",11.8922,NA,NA,NA,NA,NA,NA,0.0466,0.0533,1.0024,14.31,0.1107,-1.5259,0.0543,-0.0117,-2e-04,-0.0582,-0.0521,-0.0548,-0.0043,NA,0.0878,-0.0852,-0.2795,NA,0.0645,0.0761,NA,0.0619,0.0839,NA,0.0264,-0.0116,NA,0.0656,0.0575,0.1447,-0.0658,-0.1752,0.0647,0.0168,0.0978,0.0269,0.1246,-0.0293,15.645295571317
"3629",0,1.1071,8.3722,1.7516,0,-4.8794,-4.6234,-0.539,-0.1722,0,77.9391,-0.5814,-0.0274,-0.1494,-2.1532,-2.1534,-2.1532,-1.2714,-1.2714,0.3768,0.3768,0,-0.6359,-0.6354,0.0463,-0.1866,-0.2784,0,0,0,0,0,0,0.1496,-0.1644,-0.2213,0,0,0,-0.2395,1.1036,-0.1167,-0.3781,0,-0.1136,-60.4316534114226
"1639",0,1.5165,1.6542,0.9197,11.3647,47.5688,-171.0752,0.0384,-0.0058,0.0184,2.6723,0.0582,-1.0565,0.0396,-0.0669,-0.0716,-0.1174,-0.1221,-0.1183,0.0031,0.001,0.3333,2.2184,0.7548,0.0528,0.0539,0.0205,-0.0253,-0.1772,-0.167,0.0458,0.6168,-0.0561,0.1035,0.052,0.035,0,0,0,0.132,0.133,0.0707,0.023,19.0404,0.2225,6.14537268559985
"1280",0,132.0536,132.0536,14.2876,189.1346,124.6695,-113.4225,0.0015,-0.009,2.5645,275.6512,0.1681,-0.7866,0.4285,-0.4701,-0.4704,-0.6094,-0.6111,-0.6111,NA,NA,0,0.0511,-3.5661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1467,0.5982,0.5024,NA,102.2364,0,-13.725496388504
"2810",14.3731,1.0248,1.1677,7.573,20.6104,25.8663,35.7121,0.1144,0.0696,0.1545,0,0.0746,-0.1528,1.058,0.913,0.9388,0.4316,0.1071,0.0935,0.083,NA,0,0.8112,0.7898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1239,0.6415,-0.4686,0,22.2222222222222
"509",34.8845,5.6816,6.2847,8.417,28.7818,26.9773,32.069,0.0215,0.0292,0,11.8002,0.1239,-0.9539,-0.1132,-0.3696,-0.3609,-0.3759,-0.3371,-0.336,-0.0587,-0.0599,0,-0.2442,-0.2784,0.3022,0.1603,0.0882,0.3495,0.1197,0.014,0.3218,0.1332,-0.035,0.2564,0.1794,0.1071,0,0,0,0.0455,0.0117,0.0023,0.0253,0,0.0614,3.91764765724156
"1481",0,NA,NA,NA,NA,NA,NA,0.2104,0,0.4566,22.2346,0.0681,0,-0.8743,-0.622,-1.0769,1.0568,-0.6142,-0.6806,0,0,0,-1.913,-4.5005,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1.7119,1.8329,0,0,-71.1711711711712
"2157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.1868913377279
"170",7.3504,1.3272,1.3272,2.1328,11.8794,7.5757,12.9191,-0.0539,0.136,1.0307,2.6768,-0.0603,-2.2416,-0.7602,-1.0582,-1.0557,-1.4921,-1.4755,-1.4773,0.0369,0.0328,-0.4444,-0.0827,2.021,0.1146,0.0119,-0.0442,0.1919,0.0043,-0.0813,0,0,0,0.1862,0.0986,0.0214,0.0856,0,-0.059,-0.3353,0.0184,-0.0756,-0.1575,-0.0897,-0.4952,-70.5768224940159
"1905",2.9463,NA,NA,NA,NA,NA,NA,-0.0073,0.9932,4.382,42.2072,-0.0057,1.4599,-0.0636,-0.292,-0.2938,-1.1045,-1.1176,-1.1176,2e-04,2e-04,0,0.0167,0.0436,0.0069,-0.0298,0.0545,-0.0495,0.0051,0.4754,0,0,0,NA,-0.0334,0.1563,0,0,0,-0.1776,-0.1953,-0.053,0.1496,-0.0675,0,7.54039112630424
"2225",0.3126,NA,NA,NA,NA,NA,NA,0.0556,0.0687,0.9685,49.5357,0.2537,-7069.0516,-0.0144,-0.0241,-0.0624,-0.0458,-0.0459,-0.0459,-0.0086,NA,-0.0116,-0.096,-0.2582,-0.0124,-0.023,0.0056,-0.0256,-0.0602,-0.0885,-0.0271,-0.0626,-0.0124,0.0575,0.0285,-0.0827,0,0.0011,-0.0749,0.6454,0.1612,0.0823,-0.0287,0.2393,0,-29.2248698430146
"1622",0,61.189,84.3577,8.7251,13.2676,24.2794,-5.359,2e-04,-0.3689,0.9649,0,0.0127,-7.7087,0.8755,-0.4744,-1.4583,-0.6866,-0.6739,-0.6739,0,0,0,-3.6485,-5.5583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6429,0,4.0413,2.1927,7.0785,0,-98.2895501957951
"492",0,29.0044,29.0044,14.9165,0,-23.6484,-22.9866,-0.058,-0.0404,1.2057,11.9806,-1.6535,-0.0112,0.0834,0.2171,0.2163,0.1809,0.2432,0.2432,0.0876,0.0876,0,0.0369,0.0533,0,0.3124,0.0394,0,0,0,0,0,0,-0.0214,0.3346,0.469,0,0,0,0.0057,0.0382,0.6305,2.904,0.0018,-0.1753,76.4765831188376
"1184",0,1.8055,2.99,0.4632,6.164,8.7847,-90.0689,0.0442,-0.0168,1.4186,18.7353,0.0779,-10.9629,0.0776,-0.1163,0.1574,0.2204,0.0711,0.067,0.3024,NA,0,0.2836,0.6408,NA,NA,0.0674,NA,NA,0.0202,NA,NA,-0.2366,NA,NA,-0.0059,NA,NA,0,-0.0401,-0.0736,0.0109,-0.3181,0.1378,0,33.7527987982881
"3607",34.8431,NA,NA,NA,NA,NA,NA,0.0519,0.0303,0.0203,0,0.1982,-0.3683,0.3268,0.5228,4.883,0.8348,0.62,0.6458,0.1088,0.1033,0,5.0826,17.5837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1813,0,0.4419,0.9361,-0.8739,0,141.999989171182
"3542",0,1.7064,1.7064,1.3282,0,-16.808,-15.919,-0.0391,-0.0591,0.0863,2.032,-0.0669,-0.0322,0.0328,0.4185,0.2707,0.3429,0.375,0.375,0.0237,0.0237,0,-0.0667,-0.068,-0.0979,0.0725,-0.1538,0,0,0,0,0,0,-0.1025,-0.0628,-0.0923,0,0,0,0.1697,0.0864,-0.0252,-0.0657,-0.0313,-0.0352,1.5686259843532
"3357",12.86,0,0,6.7698,10.803,11.3791,12.1759,0.0491,0.0814,-1.5403,0,-0.4021,-0.3104,0.0561,0.0711,0.0685,-0.3475,-0.2573,-0.2779,-0.1237,-0.0956,0,0.0372,0.0931,0.0595,0.1994,0.1954,0.1252,0.1815,0.3268,0.1648,0.1698,0.4805,0,0,0,0,0,-1,-0.0134,0,-0.2855,-1.3803,-0.0097,-0.0358,52.7539827034591
"3427",24.8714,5.7347,0,3.3634,14.7987,20.4097,26.5411,0.042,0.0407,0.9136,6.4474,0.2439,-0.65,0.1675,0.1539,0.1537,0.1155,0.13,0.1276,-0.016,-0.0126,0.4754,0.1454,0.1025,0.1466,0.1575,0.1371,0.1688,0.1065,0.1909,0.1718,0.1959,0.136,0.2111,0.1279,0.132,0,0.7188,1.4662,0.1226,0.0921,0.1326,0.0334,0.2454,0,-1.68245436506309
"3770",0,1.066,1.1067,0.3684,8.5665,77.1632,-17.8436,0.0687,-0.0571,0.0758,6.0897,0.0735,-0.7374,-0.2219,-0.4867,-0.4867,-0.395,-0.4,-0.4018,0.0036,0.0094,0,-0.9502,-1.244,0.0654,0.0955,0.0573,0,-0.3263,0,0.5144,0.469,0.0925,0.1515,0.1414,0.144,0,0,0,0.0564,0.2456,0.1593,0.0968,12.6337,0.0834,-9.52380655033505
"2984",0,0.9464,0.9464,9.3778,21.8502,31.0559,34.813,0.0097,-0.0037,0.6485,0,0.0093,-0.0383,1.4331,1.0269,1.0306,1.0378,1.0372,1.0169,-0.0274,NA,0,0.9822,0.87,NA,0.0079,0.2251,NA,0,0,NA,-0.0745,0,NA,0.0118,0.068,NA,-1,-1,0,0,-0.0986,0.0468,0.2727,0,44.289230532937
"2400",49.9735,6.8807,6.8807,18.8566,48.7854,41.0983,49.2279,0.0082,0.019,0,0,0.0693,-0.0433,-0.1579,-0.4817,-0.4834,-0.5091,-0.5714,-0.5263,0.0954,0.0184,0,-0.3205,-0.035,NA,0.1996,0.2773,NA,0.0313,0.3311,NA,0,0,NA,0.0695,0.1124,NA,0,0,-0.1336,0,-0.0231,-0.1363,0,0,-33.6705396186535
"2420",124.0949,NA,NA,NA,NA,NA,NA,0.1609,NA,0.3597,27.5265,0.1586,-1315.2544,-0.0355,0.0139,0.0094,0.0442,0.0493,0.0493,-0.0207,NA,-0.02,-0.0265,-0.1668,0.1312,0.1962,0.0448,0.1273,0.1805,0.0046,0.0991,0.1388,-0.05,0.1659,0.1541,0.1305,0.1852,0.0944,0.0526,-0.166,0.135,0.0446,0.0882,0.0143,-0.3407,-18.6495425093029
"3340",12.3113,3.8741,15.5971,2.3122,9.485,9.2898,11.4647,0.054,0.0824,0.2742,58.1277,0.215,-0.8307,0.0041,-0.0293,-0.0545,-0.0265,0.0216,0.0264,-0.0496,-0.0517,0,0.3333,0.4812,0.0889,0.1209,0.0778,0.1583,0.1059,0.1279,0.119,0.0985,0.0402,NA,0.1573,0.0734,0,0,0,-0.1367,-0.3214,0.0116,-0.0328,0.708,0.1196,-39.9545452811501
"878",0,0,0,-27.3484,0.1131,0.1625,0.1525,-212.6437,-64.7449,0,0.4359,2.4319,-23.3532,0,0.0757,0.1625,-0.1525,0.5132,0.5132,1.3696,1.3696,0,-0.1289,-0.0159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3979,0,-0.2515,-24.9831,0,-0.1973,164.367810142077
"2333",0,2.5875,3.2397,1.7403,16.5503,20.3346,-43.7655,0.0101,-0.0284,0.6674,48.3355,0.0254,-6.1175,0.2268,1.2289,-0.1242,-0.3921,-0.3947,-0.3982,0.024,NA,0.7167,0.0476,-1.0626,NA,NA,0.1159,NA,NA,0.3302,NA,NA,1.2763,NA,NA,0.0902,NA,NA,0,-0.059,-0.0172,0.0482,0.0652,0.2471,0,-57.1202129446756
"820",0,0.9569,0.9569,1.0402,0,-2.0306,-1.8127,-1.3773,-0.2579,0,16.1194,-1.1083,-1.7678,-0.3797,-3.8614,-33.8579,-22.2982,0.7138,0.7138,10.2793,10.2793,0,-0.8947,-1.1134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946,-0.4986,1.2023,1.0222,-1,0.5422,-69.469387028493
"3611",0,NA,NA,NA,NA,NA,NA,-1.2079,0.029,0.4869,5.8874,-0.7315,-0.203,-0.2476,-0.1899,-0.1899,-0.6108,0.0081,0.0081,0.623,0.623,0,-0.0938,0.021,0.1032,0.0278,-0.2172,0,0,0,0,0,0,-0.0232,-0.1994,-0.2798,0,0,0,0.1219,-0.0375,-0.0658,-0.5232,-0.1105,-0.1852,18.6274569385651
"3643",7e-04,NA,NA,NA,NA,NA,NA,4.016,-4e-04,2.0742,NA,0.3367,NA,0.9215,8.3583,1.729,5.8396,5.8502,5.4662,NA,NA,0,12.248,7.2469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-20.0000029802322
"1101",14.1434,15.0913,0,0.8062,6.2534,9.3585,24.6261,0.0819,0.0707,13.3827,14.4771,1.261,-2.6057,0.0921,0.368,0.1136,0.5132,0.5041,0.5041,0.0025,NA,0,0.4278,7.1111,-0.0389,0.1224,0.1243,-0.0747,0.7116,0,-0.0518,0,-0.0015,-0.2254,0,0,-1,0,0,0.1618,-0.0497,0.0703,1.7929,-0.0266,0,-17.3286745517065
"2395",3.564,1.5734,2.4052,0.0817,5.6464,4.0895,5.5572,0.1203,0.2805,1.013,37.9718,0.1954,-3.3221,0.3466,0.8792,0.9402,1.7812,1.7762,1.7817,0.0033,-0.0021,0.0799,0.3518,0.2871,NA,0.071,-0.0333,NA,0,0,NA,0.0979,0.6631,NA,0.121,0.1305,0,0.0532,0.0811,-0.3288,-0.412,-0.1636,0.4088,-0.3492,0,-42.8967725634385
"1064",26.1399,2.6051,2.6051,1.0596,10.4982,15.3721,23.5491,0.0494,0.0373,0.11,5.856,0.1291,-0.3748,0.3091,1.1637,1.2334,1.5336,1.5278,1.5278,0.005,0.0092,0,0.6524,0.8509,0.0703,0.0867,0.1236,0.1424,0.0544,-0.0163,0.1623,0.1836,0,0.1078,0.0571,0.0651,0,0,0,0.2201,0.2671,0.1891,0.1502,-0.0801,0,62.5941830383325
"410",54.128,3.9072,3.9072,311.5614,0,38.4204,38.9663,-0.0708,0.018,0,0,-0.2729,-9e-04,-0.1013,0.0714,0.0679,0.0706,0.2333,0.2333,0.196,0.196,0,1.2549,1.2598,-0.1079,-0.1748,-0.274,0,0,0,0,0,0,-0.1097,-0.1536,-0.1025,0,0,0,0.7074,0,1.5616,0.8301,0,-0.1057,46.6666734098185
"2217",0.1888,NA,NA,NA,NA,NA,NA,0.0526,NA,0.3467,181.1164,0.2134,0,0.044,0.0357,0.0281,0.013,-9e-04,-9e-04,-5e-04,NA,0,0.0168,-0.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364,-0.0822,0.087,0.1001,0.141,0,2.00549239834051
"2026",0,1.1568,1.1568,6.9175,11.0476,22.8945,22.9563,0.0207,-0.1428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.6763274639911
"599",0,12.3006,12.3006,1441.3964,0,-35.1063,-34.4923,-0.0458,-0.0266,3e-04,1.792,-0.5353,-0.0038,-0.6834,0.3916,-1.2158,0.4065,0.6535,0.6535,0.695,0.695,0,-0.6054,-0.5759,NA,NA,-0.4984,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,-1,-0.825,1.9964,6.3659,-0.4444,1.3207,-65.8436210896246
"1573",21.6364,4.715,0,1.2087,12.3036,14.389,27.4035,0.0463,0.045,1.2112,8.8444,0.2187,-0.885,0.3259,0.854,1.0127,1.0098,1,0.9796,0.0092,0.0086,0,0.6155,0.8358,0.0383,0.0524,0.0362,0.0366,0.0987,0.088,0.0548,0.1031,-0.0777,0,0.1793,0.0795,0,0.2167,0.1006,0.091,0.4568,0.2859,-0.057,0.4913,0,-7.34195571751695
"668",16.0335,2.2574,2.9249,0.2328,10.8863,10.0788,13.4369,0.0177,0.0623,0.5639,0,0.0399,-1.7053,0.1855,-0.2516,0.6584,-0.6366,-0.6402,-0.6382,0.0075,0.0037,0,0.673,0.9204,0.23,0.127,0.2748,0.1789,0.3789,0.2172,0.024,0.0904,-0.3826,0.1615,0.1182,0.1173,0,0,0,1.4442,0,0.3026,0.0435,0.5,0,-3.28923404447615
"2491",26.4416,3.5096,4.8893,4.3222,19.6199,15.4851,21.9869,0.024,0.0378,0.1325,0,0.0508,-0.4039,0.2262,0.1633,0.1622,-0.5613,-0.5641,-0.5641,0,0,0,0.1139,0.0787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1797,0,0.1439,0.1162,0,0.0275,-1.38926269205198
"3658",41.623,1.5854,7.9452,1.7316,24.2454,21.1708,41.6173,3e-04,0.0242,0.0689,5.7568,7e-04,-0.807,0.0668,5.715,0.2197,1.016,1.0103,1.0208,-1e-04,-0.0059,0.25,-0.0787,-0.1118,0.0207,-0.0319,0.058,-0.0358,-0.1111,-0.1635,-0.3618,-0.6172,-0.8013,0.0629,0.0214,-0.0098,0,0,0.0772,0.1823,0.045,-0.2256,-0.0357,-0.7674,0,0.555528014130812
"293",18.5739,2.1149,2.3338,0.916,10.4838,12.8156,18.4745,0.0441,0.0537,0,5.8138,0.093,-0.4904,0.2432,0.3964,0.2691,0.4181,0.4,0.3906,0.0172,0.017,-0.6757,-0.2063,-0.3245,0.0263,0.1108,0.053,-0.0016,0.047,0,-0.0669,0,0,0.0905,0.0298,0.0504,0,0,0,0.2457,0.393,0.2076,0.0919,0,0,-5.20881967218668
"1250",19.0045,4.5245,4.5245,1.5516,55.7184,15.395,17.2204,-0.0324,0.0525,0.1259,142.6258,-0.1461,-0.077,-0.1078,-8.4374,-8.1562,-11.8799,-11,-11,0.0047,-0.0011,0,1.3023,2.5213,0.0281,0.0227,0.0339,-0.0215,-0.1438,-0.0516,0,0,0,-0.0613,-0.0976,-0.1174,0.1161,-0.1973,-0.1264,-0.3268,0.6475,0.0108,-0.2296,-0.1254,0,52.5618457917663
"1470",0,1.4546,2.079,1.1901,18.3301,89.9124,-29.6001,-9e-04,-0.0449,0.5834,3.0222,-0.001,-2.0763,0.4988,-0.374,2.1842,-1.0169,-1.0208,-1.0208,0.0067,NA,0,-0.8483,0.305,0.031,0.0452,-0.0495,0.0738,-0.2542,-0.431,0,0,0,0.1828,0.031,0.009,0.1161,0,0,0.1427,0.114,-0.0474,-0.1082,-0.2215,0,-66.3750009995132
"3599",42.4594,3.7394,3.7743,4.4464,10.6913,19.0054,37.2313,0.0514,0.0235,0.034,4.4796,0.1915,-1.6921,0.2254,0.3035,0.2558,0.2867,0.2748,0.2761,0.0108,0.0086,0,0.5088,0.8885,0.2012,0.2931,0.1383,0.304,0.2365,0.233,0.4762,1.0037,0.1566,0,0.2893,0.2899,0,0,0,0.3787,-0.0098,0.141,0.1158,1.2322,0.2819,20.5190586866242
"2384",0,1.4894,1.4894,2.7853,3.4106,3.8732,-4.1128,0.2177,-0.2924,0.3797,0,0.3049,-1.89,0.5893,0.4931,0.7284,0.6371,0.5238,0.5122,0.0643,NA,0,0.8625,-2.045,0.0383,0.1472,0.2453,0.0159,0.1091,0.5418,0.0655,0,0.6256,0,0,0.4565,0,0,0,-0.3573,0,0.6763,1.2425,0.7934,0,-64.3097665801858
"2754",14.4804,1.2517,1.4942,9.1666,21.3115,29.0535,33.8494,0.0587,0.0691,1.4651,0,0.0732,-0.342,-0.0108,-0.1672,-0.1672,-0.1401,-0.1404,-0.1412,0.0026,NA,0.1875,-0.4418,-0.5191,-0.0028,0.1057,0.0309,0.0456,0.0559,-0.0865,0.0441,0,0.0251,0.0447,-0.0168,0.04,-0.0026,0.1548,0.3075,0,0,0.0709,0.0422,0.0861,0,9.29753675724493
"2343",28.4609,2.4175,2.4175,2.9325,8.7905,18.2842,25.3389,0.068,0.0356,0,2.4469,0.1676,-1.0402,0.1645,0.2467,0.2469,0.229,0.2488,0.2476,-0.0168,-0.0165,0,-0.0796,-0.1048,0.1378,0.1105,0.1579,0.177,0.0141,0.137,0.3064,0.1424,0.2999,0.1742,0.1159,0.105,0,0,0,0.3393,0.0657,0.0375,0.0197,0,0.1447,-22.6257384964582
"1530",28.394,3.6569,7.8436,2.009,13.4389,17.9287,26.6059,0.0408,0.0352,0.162,11.7301,0.1504,-0.4808,0.1105,0.2078,0.2052,0.2245,0.25,0.2459,-0.0184,NA,0.3043,-0.0558,-0.022,0.0348,0.1174,0.125,0.1463,0.0041,0.669,0.1922,0.1871,-0.111,0.0874,0.1275,0.0956,0.1318,0.2052,0.2599,0.0364,0.077,0.0518,0.059,0.1662,0,39.9052275132872
"3782",15.9701,2.0204,2.3918,1.6226,0,14.5236,15.0921,-0.0414,0.0614,0.0857,3.6086,-0.0805,-0.0178,-0.1403,-0.3502,-0.2633,0.4039,0.4,0.4,-4e-04,-4e-04,0,3.379,1906.6,NA,0.0807,0.0529,NA,0.2985,0,NA,0,0,NA,0.0096,-0.0274,NA,0,0,-0.2728,-0.1618,-0.0309,-0.0094,-0.0157,-0.1031,-59.1337081039958
"2691",0,0.8037,0.8587,-0.7169,0,5.685,5.8416,0.3031,-0.121,0.5807,0,0.2467,-0.0774,0.3234,7.2821,-2.9703,34.9836,35.375,34,-0.0152,-0.0135,0,-1.4236,-1.4417,-0.1655,0.0426,0.1476,0,0,0,-0.1021,0,0,NA,-0.1258,0.0347,0,0,0,0.3715,0,0.306,0.3553,1.8686,0,460.32371718068
"3450",16.204,2.0068,2.0371,0.7498,0,10.1113,12.299,-0.0763,0.062,0,5.3008,-0.1482,-13.9934,0.0372,-0.0445,-0.7098,-0.0411,-0.087,-0.087,-0.0072,-0.0072,0,8.4225,4.7931,-0.0104,0.003,-0.0684,0,0.0773,-0.0718,0,0,0,0.0362,0.0285,-0.045,0,0,0,-0.2823,-0.056,-0.091,-0.1137,0,0.0625,-58.4615384615385
"1239",15.2102,4.2803,4.8524,1.4686,12.3316,11.7263,12.9222,0.0395,0.0656,0,13.4797,0.1692,-0.1018,0.3202,0.802,0.9177,-0.6081,-0.6104,-0.6118,0.0058,0.0073,0,0.6301,0.7828,-0.0582,0.0731,0.1438,-0.0263,0.1793,0.9449,-0.0411,0,1.3524,-0.0743,0.1573,0.5066,-1,0,0,0.0365,0.5733,0.2235,0.206,0,0.3001,11.6900401810949
"3511",0,1.1829,1.7601,0.7069,25.1119,-87.3594,-15.1525,-0.2616,-0.1483,1.7964,4.3099,-0.3087,-0.7128,-0.048,0.3064,0.4809,0.1664,0.1694,0.1694,0.0046,0.0046,0,0.7045,0.4363,0.0207,-0.0918,-0.1848,0,0,0,0,0,0,-0.1457,-0.1123,-0.2582,0,0,0,0.0552,-0.0549,-0.0745,-0.2023,0.0393,-0.0897,-43.0288442879283
"556",0,0,0,251.1099,0,-16.1992,-16.1143,-0.106,-0.0805,-3.2489,1.6208,0.7543,-0.0061,0.8608,0.1846,-0.1783,0.0131,0.1018,0.1018,0.0941,0.0941,0,-0.0086,0.007,-0.1194,-0.2791,-0.3683,0,0,0,0,0,0,0,0,0,0,0,0,2.1213,-1,-0.2343,-1.6825,1.524,-0.1704,-20.7252270436511
